"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"1073742178","у","ПРЕДЛОГ","428","469","376","191","323","206","255","88"
"1073945174","хочет","ГЛАГОЛ","6","5","5","8","5","13","23","4"
"1073963214","пухла","ГЛАГОЛ","0","1","0","0","0","0","0","0"
"1073957345","медли","ГЛАГОЛ","2","0","2","2","1","0","0","0"
"1073919031","сирия","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","1","0","0"
"1073801906","грешному","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"1073962265","иду","ГЛАГОЛ","4","4","4","2","1","1","23","5"
"1073947880","извлеки","ГЛАГОЛ","0","0","0","1","0","0","0","0"
"1073957494","поищи","ГЛАГОЛ","0","1","0","0","0","0","0","0"
"1073946317","вступил","ГЛАГОЛ","4","4","9","0","1","9","0","0"
"1073957183","исполнилось","ГЛАГОЛ","3","2","0","1","4","4","7","0"
"1073945146","вноси","ГЛАГОЛ","1","2","0","0","0","0","0","0"
"1073958670","сеете","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"1073742261","мне","МЕСТОИМЕНИЕ","242","292","179","183","288","251","235","108"
"1073908633","глубине","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","4","3","5","0","1"
"1073958156","удержит","ГЛАГОЛ","0","1","0","4","0","3","0","0"
"1073977692","усомнились","ГЛАГОЛ","0","0","0","0","0","0","1","0"
"1073760005","уделять","ИНФИНИТИВ","0","0","0","0","1","0","0","1"
"1073949432","сдерживает","ГЛАГОЛ","0","0","0","1","0","0","0","0"
"1073800700","худую","ПРИЛАГАТЕЛЬНОЕ","3","2","0","0","0","0","0","0"
"1073948940","делаешь","ГЛАГОЛ","5","7","4","3","5","3","13","0"
"1073947839","вытащи","ГЛАГОЛ","0","0","0","0","1","0","0","0"
"1073899549","проступков","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"1073948035","оделась","ГЛАГОЛ","1","0","2","0","0","0","0","0"
