"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"16026","прислуги","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"16027","прекращу","ГЛАГОЛ","0","0","0","0","3","2","0","0"
"16028","силу","СУЩЕСТВИТЕЛЬНОЕ","2","6","9","22","13","22","13","16"
"16029","объявили","ГЛАГОЛ","1","2","2","0","2","5","1","0"
"16030","донести","ИНФИНИТИВ","0","3","0","2","0","2","0","0"
"16031","круглые","ПРИЛАГАТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16032","военных","ПРИЛАГАТЕЛЬНОЕ","0","1","2","0","4","1","2","0"
"16033","привязанное","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16034","спасай","ГЛАГОЛ","1","1","0","1","1","0","0","0"
"16035","лишай","ГЛАГОЛ","1","0","0","1","2","0","0","0"
"16036","разрушение","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","4","3","1","2"
"16037","отвратительных","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16038","продолжал","ГЛАГОЛ","5","3","6","6","2","5","3","0"
"16039","название","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16040","свидетельствовать","ИНФИНИТИВ","0","0","0","2","0","1","8","2"
"16041","недоумевали","ГЛАГОЛ","0","1","0","0","0","0","2","0"
"5642","искал","ГЛАГОЛ","2","4","2","1","4","5","10","3"
"16042","прибытия","СУЩЕСТВИТЕЛЬНОЕ","1","0","1","0","0","1","0","1"
"16043","углублений","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16044","нашею","ПРИЛАГАТЕЛЬНОЕ","1","0","0","3","1","1","0","3"
"16045","разговор","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","2","0","0","0"
"16046","подражания","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16047","египетской","ПРИЛАГАТЕЛЬНОЕ","96","29","7","3","31","24","4","2"
"16048","рыжем","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16050","возвращение","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","1","0","0"
"16051","исходящий","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","1","0","0"
"16052","подвергнут","ГЛАГОЛ","0","0","0","0","0","1","1","0"
"16053","изменили","ГЛАГОЛ","0","0","0","0","3","4","0","1"
"16054","вырастила","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16055","угодил","ГЛАГОЛ","0","0","0","0","1","0","0","1"
"16056","обилен","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16057","малых","ПРИЛАГАТЕЛЬНОЕ","0","1","1","2","0","5","10","2"
"16058","неверии","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","2"
"19157","юпитера","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16059","купец","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16060","испытании","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","2","0","0","0"
"16061","вступись","ГЛАГОЛ","0","0","0","3","0","0","0","0"
"16062","избавилась","ГЛАГОЛ","0","0","0","1","0","0","0","0"
"16063","поразят","ГЛАГОЛ","1","1","0","1","0","1","0","0"
"16064","умоляла","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16065","кувшин","СУЩЕСТВИТЕЛЬНОЕ","6","2","0","1","2","0","2","0"
"16066","слоны","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","2","0","0"
"16067","тобой","МЕСТОИМЕНИЕ","0","0","0","1","1","0","0","0"
"16068","увлекайтесь","ГЛАГОЛ","0","0","0","0","0","0","0","1"
"16069","оставит","ГЛАГОЛ","5","8","6","4","8","6","7","2"
"16070","встретят","ГЛАГОЛ","0","1","0","0","0","0","0","0"
"16071","южную","ПРИЛАГАТЕЛЬНОЕ","2","0","0","0","0","2","0","0"
"16072","чрево","СУЩЕСТВИТЕЛЬНОЕ","4","3","1","4","3","3","6","2"
"16073","идущие","ПРИЛАГАТЕЛЬНОЕ","0","2","0","0","1","0","0","0"
"16074","удостоены","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16075","вторгся","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16076","приятные","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16077","вылейте","ГЛАГОЛ","0","0","0","0","0","0","0","1"
"16078","поверят","ГЛАГОЛ","3","0","0","0","0","0","1","0"
"16079","безопасных","ПРИЛАГАТЕЛЬНОЕ","0","1","0","0","1","0","0","0"
"16080","томятся","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16081","избавят","ГЛАГОЛ","0","1","0","0","1","0","0","0"
"16082","падающий","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16083","пережить","ИНФИНИТИВ","0","0","0","0","0","1","0","0"
"16084","уток","СУЩЕСТВИТЕЛЬНОЕ","2","0","0","0","0","0","0","0"
"16085","пересчитал","ГЛАГОЛ","0","1","1","0","0","0","0","0"
"16086","осмотрели","ГЛАГОЛ","0","2","0","0","0","0","0","0"
"16087","благоприятное","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","3","2","1","1"
"16088","сокровенных","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","0","1","0"
"16089","бобов","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","1","0","0","0"
"16090","давалась","ГЛАГОЛ","0","0","1","0","0","1","0","0"
"16091","образца","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16092","возложит","ГЛАГОЛ","22","2","0","2","0","0","0","0"
"16093","происшествия","СУЩЕСТВИТЕЛЬНОЕ","0","0","2","0","0","0","0","0"
"16094","вождей","СУЩЕСТВИТЕЛЬНОЕ","1","2","5","1","3","6","0","0"
"16095","сердца","СУЩЕСТВИТЕЛЬНОЕ","11","23","27","47","62","18","21","40"
"16096","одинаковыми","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16097","взаимно","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","0","0","0","3"
"16098","чувстве","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16099","закрываю","ГЛАГОЛ","0","0","0","0","1","0","0","0"
"16100","выходящий","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16101","поселенца","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16102","негодованию","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16103","медведя","СУЩЕСТВИТЕЛЬНОЕ","0","2","0","0","1","1","0","1"
"16104","гомер","СУЩЕСТВИТЕЛЬНОЕ","1","0","1","0","0","0","0","0"
"16105","заметить","ИНФИНИТИВ","0","0","0","0","0","1","0","0"
"16106","пожить","ИНФИНИТИВ","2","2","1","0","3","0","0","0"
"16107","прилетел","ГЛАГОЛ","0","0","0","0","1","1","0","0"
"16108","слушаем","ГЛАГОЛ","0","0","1","0","1","0","0","0"
"19158","лагеря","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"16109","орион","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16110","хромой","ПРИЛАГАТЕЛЬНОЕ","1","3","0","0","2","0","2","0"
"16111","горестей","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16112","здоровы","ПРИЛАГАТЕЛЬНОЕ","2","1","0","0","0","3","1","0"
"16113","высотами","СУЩЕСТВИТЕЛЬНОЕ","1","0","0","1","0","0","0","0"
"16114","узнавай","ГЛАГОЛ","2","0","0","0","1","0","0","0"
"16115","пот","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16116","заживо","НАРЕЧИЕ","0","0","0","0","0","0","0","1"
"16117","примешь","ГЛАГОЛ","0","1","0","2","0","0","0","0"
"16118","выходите","ГЛАГОЛ","3","0","0","0","4","1","2","0"
"16119","пробудьте","ГЛАГОЛ","1","0","0","0","0","0","0","0"
