"id","group","name","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"22058","ПРИЛАГАТЕЛЬНОЕ","опытны","0","0","0","1","0","0","0","0"
"22059","ПРИЛАГАТЕЛЬНОЕ","называемого","0","0","0","0","0","2","10","1"
"22060","ГЛАГОЛ","обошли","0","4","1","0","0","1","0","0"
"22061","СУЩЕСТВИТЕЛЬНОЕ","ржавчиною","0","1","0","0","0","1","0","0"
"22063","ГЛАГОЛ","обманывают","0","0","1","0","1","0","0","1"
"22064","ПРИЛАГАТЕЛЬНОЕ","супружеского","1","0","0","0","0","0","0","0"
"22065","ГЛАГОЛ","положишь","0","0","1","0","0","0","1","0"
"22066","ГЛАГОЛ","скорбело","0","0","0","0","1","0","0","0"
"22067","СУЩЕСТВИТЕЛЬНОЕ","убийца","0","12","1","0","0","0","0","2"
"22068","ПРИЛАГАТЕЛЬНОЕ","правдивый","0","0","0","0","0","0","1","0"
"22069","ПРИЛАГАТЕЛЬНОЕ","всякими","0","1","2","2","2","7","0","1"
"22070","ПРИЛАГАТЕЛЬНОЕ","богатому","0","1","0","1","0","0","4","0"
"22071","ПРИЛАГАТЕЛЬНОЕ","минутное","0","0","0","0","1","0","0","0"
"22073","СУЩЕСТВИТЕЛЬНОЕ","искрою","0","0","0","0","1","0","0","0"
"22074","СУЩЕСТВИТЕЛЬНОЕ","свидетель","3","6","1","5","1","0","0","8"
"22076","СУЩЕСТВИТЕЛЬНОЕ","сена","0","0","0","0","0","0","0","1"
"22077","ГЛАГОЛ","изменяется","0","0","0","1","2","1","0","0"
"22078","ГЛАГОЛ","прибавят","1","0","0","0","0","1","0","0"
"22079","СУЩЕСТВИТЕЛЬНОЕ","плотника","0","0","0","0","1","0","0","0"
"22080","ПРИЛАГАТЕЛЬНОЕ","седьмой","43","18","26","0","4","7","0","3"
"22081","ГЛАГОЛ","осматривали","2","0","0","0","0","0","0","0"
"22083","СУЩЕСТВИТЕЛЬНОЕ","добре","0","0","1","0","0","1","0","0"
"22084","ПРИЛАГАТЕЛЬНОЕ","какие","7","15","16","4","24","34","9","5"
"22085","ГЛАГОЛ","наполните","1","1","0","0","1","0","1","0"
